分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:03:45.000,00:03:42.000,0.8,--,--,0:04:39  ,0:04:36  ,0:04:26  ,172.625,177.0,125.2,142.0,155.0,--,51
2,00:01:00.000,00:00:00.000,0,--,--,4:33:13  ,--,0:04:34  ,9.765625,173.0,125.80000000000001,137.0,155.0,--,13
3,00:03:45.000,00:03:42.000,0.82,--,--,0:04:33  ,0:04:30  ,0:03:19  ,176.09375,240.0,126.34000244140626,148.0,158.0,--,53
4,00:01:00.000,00:00:07.000,0.02,--,--,1:00:23  ,0:07:01  ,0:04:29  ,40.1875,180.0,109.98000488281251,142.0,154.0,--,14
5,00:03:45.000,00:03:41.000,0.82,--,--,0:04:34  ,0:04:29  ,0:04:21  ,175.765625,180.0,125.43000488281251,152.0,161.0,--,54
6,00:01:00.000,00:00:04.000,0.01,--,--,1:22:55  ,0:05:31  ,0:04:28  ,42.75,177.0,125.4,143.0,160.0,--,13
7,00:03:45.000,00:03:43.000,0.82,--,--,0:04:34  ,0:04:32  ,0:04:23  ,175.4375,179.0,125.3800048828125,153.0,161.0,--,54
8,00:01:00.000,00:00:01.000,0.01,--,--,2:16:36  ,0:02:16  ,0:04:29  ,47.640625,177.0,124.45,145.0,161.0,--,13
9,00:03:45.000,00:03:44.000,0.82,--,--,0:04:35  ,0:04:34  ,0:04:20  ,176.109375,184.0,125.10999755859376,155.0,162.0,--,54
10,00:00:18.763,00:00:05.000,0.01,--,--,0:40:39  ,0:10:50  ,0:04:44  ,54.0,176.0,119.9,159.0,163.0,--,5
11,00:00:56.275,00:00:00.000,--,--,--,--,--,--,8.578125,120.0,0.0,132.0,152.0,--,9
12,00:00:02.696,00:00:00.000,--,--,--,--,--,--,127.671875,143.0,0.0,113.0,113.0,--,0
13,00:03:45.000,00:03:40.000,0.81,--,--,0:04:39  ,0:04:33  ,0:04:21  ,176.09375,188.0,124.94000244140625,155.0,162.0,--,54
14,00:00:59.861,00:00:08.000,0.01,--,--,1:25:02  ,0:11:23  ,0:04:56  ,46.125,176.0,115.10000000000001,146.0,162.0,--,13
Summary,00:28:47.595,00:22:37.000,6,--,--,0:04:47  ,0:03:46  ,0:03:19  ,144.5,240.0,125.3300048828125,149.0,163.0,--,400
